,What is your monthly expense on Schooling/Childcare?,What is your monthly expenditure on House Rent?,What is your average monthly expense on Petrol/Diesel?,Please specify your monthly Maintenance Costs.,How much do you spend on Public Transport per month?,What is your monthly expenditure on Groceries?,How much do you spend on Medical Expenses per month?,What is your monthly budget for Leisure/Entertainment activities?,"If yes, how many insurance policies do you currently have?",Specify your average monthly Personal Expenses.,"Specify your monthly Bills (Electricity, gas, etc.).",How much do you save monthly?
What is your monthly expense on Schooling/Childcare?,1.0,0.30836389457802654,0.01744723538043342,0.009466462109671385,0.11442644467467471,0.07587650368133886,0.06016744230202006,0.16885131718316193,0.17538671887130064,0.12678124372668517,-0.00496948078742517,0.19834084508394906
What is your monthly expenditure on House Rent?,0.30836389457802654,1.0,0.39412780850796375,0.0670861911719504,0.16100582346296172,0.39453241722008553,0.0554024429877985,0.25698684645509895,0.32298055247855295,0.5077470762671302,0.42499963821923176,0.7192978159983554
What is your average monthly expense on Petrol/Diesel?,0.01744723538043342,0.39412780850796375,1.0,0.0936243730272557,0.27434661396624865,0.2852283464453144,0.05923985387676154,-0.04380923646623115,0.22594728954042304,0.4243774467255226,0.18333415321706711,0.4514563624907835
Please specify your monthly Maintenance Costs.,0.009466462109671385,0.0670861911719504,0.0936243730272557,1.0,0.017905044622635587,0.1308393471361168,-0.06928955003611638,0.020502019202510612,0.08093441824971107,0.2069463957695334,0.14750309467185568,0.18220205400945252
How much do you spend on Public Transport per month?,0.11442644467467471,0.16100582346296172,0.27434661396624865,0.017905044622635587,1.0,-0.007193814725823885,0.0011850374019527616,0.07467646531858792,0.09343490099261974,0.2686927427204604,-0.004256718174621174,0.28867376895790314
What is your monthly expenditure on Groceries?,0.07587650368133886,0.39453241722008553,0.2852283464453144,0.1308393471361168,-0.007193814725823885,1.0,0.13021352114300774,0.2081849907462789,0.3240068280747794,0.308086611891818,0.357242066756328,0.48398380435206856
How much do you spend on Medical Expenses per month?,0.06016744230202006,0.0554024429877985,0.05923985387676154,-0.06928955003611638,0.0011850374019527616,0.13021352114300774,1.0,0.014373391956437912,-0.1075378659774499,-0.132792941055895,0.177941033292707,-0.03995104626414774
What is your monthly budget for Leisure/Entertainment activities?,0.16885131718316193,0.25698684645509895,-0.04380923646623115,0.020502019202510612,0.07467646531858792,0.2081849907462789,0.014373391956437912,1.0,0.34170041859876465,0.34545158089848577,0.2970920899520048,0.24218646814947342
"If yes, how many insurance policies do you currently have?",0.17538671887130064,0.32298055247855295,0.22594728954042304,0.08093441824971107,0.09343490099261974,0.3240068280747794,-0.1075378659774499,0.34170041859876465,1.0,0.3260556315837159,0.34440563092693205,0.4377203091714265
Specify your average monthly Personal Expenses.,0.12678124372668517,0.5077470762671302,0.4243774467255226,0.2069463957695334,0.2686927427204604,0.308086611891818,-0.132792941055895,0.34545158089848577,0.3260556315837159,1.0,0.40673265046110035,0.5784772116671562
"Specify your monthly Bills (Electricity, gas, etc.).",-0.00496948078742517,0.42499963821923176,0.18333415321706711,0.14750309467185568,-0.004256718174621174,0.357242066756328,0.177941033292707,0.2970920899520048,0.34440563092693205,0.40673265046110035,1.0,0.414985902633829
How much do you save monthly?,0.19834084508394906,0.7192978159983554,0.4514563624907835,0.18220205400945252,0.28867376895790314,0.48398380435206856,-0.03995104626414774,0.24218646814947342,0.4377203091714265,0.5784772116671562,0.414985902633829,1.0
