,What is your monthly expense on Schooling/Childcare?,What is your monthly expenditure on House Rent?,What is your average monthly expense on Petrol/Diesel?,Please specify your monthly Maintenance Costs.,How much do you spend on Public Transport per month?,What is your monthly expenditure on Groceries?,How much do you spend on Medical Expenses per month?,What is your monthly budget for Leisure/Entertainment activities?,"If yes, how many insurance policies do you currently have?",Specify your average monthly Personal Expenses.,"Specify your monthly Bills (Electricity, gas, etc.).",How much do you save monthly?
What is your monthly expense on Schooling/Childcare?,,,,,,,,,,,,
What is your monthly expenditure on House Rent?,,1.0,0.4683916723085377,,0.6948656571872014,0.9093066387731439,0.6595825699163501,0.6540976785138953,-0.17296513369180963,0.8079940965556521,0.1085907056803967,0.6227717584069051
What is your average monthly expense on Petrol/Diesel?,,0.4683916723085377,1.0,,0.21978393949347894,0.3069212568366844,0.23069826169237478,0.6024020219592324,-0.3412957054791974,0.17029193811323226,0.09295528520540303,0.5069747283730668
Please specify your monthly Maintenance Costs.,,,,,,,,,,,,
How much do you spend on Public Transport per month?,,0.6948656571872014,0.21978393949347894,,1.0,0.7514320813458566,0.6540865220180166,0.6810630298059875,-0.29682662652729547,0.7332269367834601,0.08770180931754963,0.4207852961393528
What is your monthly expenditure on Groceries?,,0.9093066387731439,0.3069212568366844,,0.7514320813458566,1.0,0.6884637602915369,0.6477726864452629,-0.10552933267063482,0.8013541865905767,0.09680068965262986,0.5780675258696238
How much do you spend on Medical Expenses per month?,,0.6595825699163501,0.23069826169237478,,0.6540865220180166,0.6884637602915369,1.0,0.8289144281318465,-0.5192639051191409,0.7733171629478754,-0.1408076612570358,0.15714037169565576
What is your monthly budget for Leisure/Entertainment activities?,,0.6540976785138953,0.6024020219592324,,0.6810630298059875,0.6477726864452629,0.8289144281318465,1.0,-0.4036507832295799,0.7070464246239383,0.0884906844000585,0.3775431390705488
"If yes, how many insurance policies do you currently have?",,-0.17296513369180963,-0.3412957054791974,,-0.29682662652729547,-0.10552933267063482,-0.5192639051191409,-0.4036507832295799,1.0,-0.044961415500587194,0.46804288936783384,0.18384092752024775
Specify your average monthly Personal Expenses.,,0.8079940965556521,0.17029193811323226,,0.7332269367834601,0.8013541865905767,0.7733171629478754,0.7070464246239383,-0.044961415500587194,1.0,0.14435590233460377,0.35236234239541214
"Specify your monthly Bills (Electricity, gas, etc.).",,0.1085907056803967,0.09295528520540303,,0.08770180931754963,0.09680068965262986,-0.1408076612570358,0.0884906844000585,0.46804288936783384,0.14435590233460377,1.0,0.3653910462464802
How much do you save monthly?,,0.6227717584069051,0.5069747283730668,,0.4207852961393528,0.5780675258696238,0.15714037169565576,0.3775431390705488,0.18384092752024775,0.35236234239541214,0.3653910462464802,1.0
